model_id|edition_id|model_label|edition_label|year_range|is_active|created_at|updated_at
VF3|Eco|VF 3|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF3|Plus|VF 3|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF5|Plus|VF 5|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF6|Eco|VF 6|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF6|Plus|VF 6|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF7|Eco|VF 7|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF7|Plus|VF 7|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF7|PlusCaptain|VF 7|PlusCaptain|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VFMPV7|Eco|VF MPV 7|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF2|TieuChuan|VF 2|TieuChuan|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF8|Eco|VF 8|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF8|Plus|VF 8|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF9|Eco|VF 9|Eco|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
VF9|Plus|VF 9|Plus|2026|t|2026-08-10T03:38:48Z|2026-08-10T03:38:48Z
