STT,Mẫu xe,Mã phiên bản,Tên phiên bản,Mã màu,Tên màu ngoại thất,Phân loại màu,Phí màu nâng cao (đ),Số nội thất đi kèm,Mã nội thất,Tên nội thất,optionsName,Tùy chọn nâng cấp (giá tăng thêm),,,,,,,,,,,
1,VF 2,TH14V,Tiêu chuẩn,CE17,Desat Silver,Cơ bản,,1,CI1M,Grey,,,,,,,,,,,,,
2,VF 2,TH14V,Tiêu chuẩn,CE2G,Sky Blue,Nâng cao,8.000.000,1,CI1M,Grey,,,,,,,,,,,,,
3,VF 2,TH14V,Tiêu chuẩn,CE2Q,Solar Ruby,Cơ bản,,1,CI1M,Grey,,,,,,,,,,,,,
4,VF 2,TH14V,Tiêu chuẩn,CE18,Infinity Blanc,Cơ bản,,1,CI1M,Grey,,,,,,,,,,,,,
5,VF 2,TH14V,Tiêu chuẩn,CE2T,Be Pebble,Nâng cao,8.000.000,1,CI1M,Grey,,,,,,,,,,,,,
6,VF 2,TH14V,Tiêu chuẩn,CE1W,Urban Mint,Nâng cao,8.000.000,1,CI1M,Grey,,,,,,,,,,,,,
7,VF 2,TH14V,Tiêu chuẩn,CE1U,Yellow,Nâng cao,8.000.000,1,CI1M,Grey,,,,,,,,,,,,,
8,VF 2,TH14V,Tiêu chuẩn,CE21,Rose Pink,Nâng cao,8.000.000,1,CI1M,Grey,,,,,,,,,,,,,
9,VF 3,TI1CV,Eco,CE2Q,Solar Ruby,Cơ bản,,1,CI11,Black,,,,,,,,,,,,,
10,VF 3,TI1CV,Eco,181U,Summer Yellow Body - Infinity Blanc Roof,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
11,VF 3,TI1CV,Eco,181Y,Sky Blue - Infinity Blanc Roof,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
12,VF 3,TI1CV,Eco,CE1W,Urban Mint,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
13,VF 3,TI1CV,Eco,CE1V,Zenith Grey,Cơ bản,,1,CI11,Black,,,,,,,,,,,,,
14,VF 3,TI1CV,Eco,CE18,Infinity Blanc,Cơ bản,,1,CI11,Black,,,,,,,,,,,,,
15,VF 3,TI1CV,Eco,1821,Rose Pink Body - Infinity Blanc Roof,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
16,VF 3,TI1BV,Plus,CE2Q,Solar Ruby,Cơ bản,,1,CI11,Black,,,,,,,,,,,,,
17,VF 3,TI1BV,Plus,181U,Summer Yellow Body - Infinity Blanc Roof,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
18,VF 3,TI1BV,Plus,181Y,Sky Blue - Infinity Blanc Roof,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
19,VF 3,TI1BV,Plus,CE1W,Urban Mint,Nâng cao,8.000.000,1,CI11,Black,,,,,,,,,,,,,
