PHIÊN BẢN,VF MPV 7
KÍCH THƯỚC & TẢI TRỌNG,
Kích thước,
Dài x Rộng x Cao (mm),4.740 x 1.872 x 1.734
Chiều dài cơ sở (mm),2.840
Khoảng sáng gầm xe không tải (mm),185
Tải trọng,
Trọng lượng không tải (kg),1.875
NGOẠI THẤT,
Đèn ngoại thất,
Đèn pha,LED
Đèn chờ dẫn đường,Có
Đèn tự động bật/tắt,Có
Điều khiển độ cao góc chiếu đèn,Chỉnh cơ
Đèn chiếu sáng ban ngày,LED
Đèn hậu,LED
Đèn nhận diện thương hiệu trước và sau,LED
Ngoại thất khác,
Gương chiếu hậu,"Chỉnh điện, gập điện,
tích hợp đèn báo rẽ"
Kính cửa sổ điện,Có
Kính cửa sổ lên/xuống một chạm,Có
Gạt mưa,Điều khiển gián đoạn
Thanh trang trí nóc xe,Phụ kiện chính hãng
HỆ TRUYỀN ĐỘNG,
Động Cơ,
Công suất tối đa (kW),150
Mô men xoắn cực đại (Nm),280
Pin & Sạc,
Dung lượng pin (kWh),"60,13"
Quãng đường chạy một lần sạc đầy (km) - NEDC,450
Dây sạc di động (kW),"3,5 kW (Phụ kiện chính hãng)"
Bộ sạc tại nhà (kW),"7,4 kW (Phụ kiện chính hãng)"
Công suất sạc chậm AC tối đa (kW),"6,9 kW"
Công suất sạc nhanh DC tối đa (kW),80 kW
Thời gian nạp pin nhanh nhất (phút),30 phút từ 10% đến 70 %
Thông số truyền động khác,
Hệ thống phanh tái sinh,Có
Chọn chế độ lái,Eco/Normal/Sport
Hệ dẫn động,Cầu trước (FWD)
Cần chuyển số sau vô lăng,Có
NỘI THẤT & TIỆN NGHI,
Số chỗ ngồi,7
Chất liệu bọc ghế,Da nhân tạo
Ghế lái,Chỉnh cơ 6 hướng
Ghế phụ,Chỉnh cơ 4 hướng
Hàng ghế thứ 2 điều chỉnh hướng,"Điều chỉnh ngả lưng
ghế và trượt tiến/lùi"
Gập lưng ghế hàng ghế thứ 2,60:40
Móc cố định ghế trẻ em ISOFIX,Có
Gập hàng ghế thứ 3,Có
Tựa đầu ghế hàng 3,Có
Vô Lăng,
Vô lăng,Chỉnh cơ 4 hướng
Loại vô lăng,D-cut
Bọc vô lăng,Da nhân tạo
Điều hòa,
Hệ thống điều hòa,"Tự động, 1 vùng"
Lọc không khí Cabin,Lọc bụi mịn PM 2.5
Cửa gió điều hòa hàng ghế thứ 2 và thứ 3,Có
Sưởi kính sau,Có
KHUNG GẦM,
Hệ thống treo - trước,MacPherson độc lập
Hệ thống treo - sau,Đa liên kết
Phanh trước,Đĩa thông gió
Phanh sau,Đĩa
Phanh tay điện tử và Tự động giữ phanh,Có
Kích thước mâm xe,Mâm hợp kim 19 inch
Kích thước lốp,235/50 R19
Trợ lực lái,Trợ lực điện
NỘI THẤT & TIỆN NGHI,
Hệ thông tin giải trí,
Trợ lý ảo,Có
Màn hình giải trí trung tâm,"10,1 inch"
Kết nối với Android Auto và Apple Carplay,Có
Hệ thống loa,4 loa
Tiện Nghi,
Đèn khoang hành lý,Có
Đèn trần hàng ghế 1 và hàng ghế 2,Có
Gương chiếu hậu trong xe,Điều chỉnh chế độ ngày/đêm .
Cổng USB,"Hàng ghế thứ nhất: 1 cồng
USB-A & 1 cổng USB-C.
Hàng ghế thứ hai: 1 cồng
USB-A & 1 cổng USB-C"
Cổng sạc 12V,"Hàng ghế thứ nhất: 1
cổng 12 V. Cốp sau: 1
cổng 12 V"
HỆ THỐNG TIN GIẢI TRÍ TRÊN XE,
Chế độ vận hành đặc biệt,Chế độ Cắm trại
Quản lý thiết bị Bluetooth,Có
Quản lý eSIM,Có
"Giám sát tình trạng pin, Giới hạn dung lượng/dòng sạc",Có
Tạo và ghi nhớ cài đặt theo hồ sơ người lái,Có
Hồ sơ nâng cao,Có
"Giải trí cơ bản (Đài FM, Bluetooth, USB)",Có
Trình duyệt web,Có
Tự chẩn đoán lỗi / Chẩn đoán lỗi từ xa,Có
Cập nhật phần mềm không dây (FOTA),Có
ỨNG DỤNG ĐIỆN THOẠI,
Đồng bộ và Quản lý tài khoản,Có
Nhận thông báo,Có
Giám sát xe từ xa,Cơ bản
Tìm trạm sạc,Có
Hỗ trợ hậu mãi,Có
AN TOÀN & AN NINH,
"Túi khí phía trước cho người lái
và hành khách phía trước",2
Túi khí bên hông,2
Hệ thống chìa khóa xe,Chìa khóa thông minh
Khóa cửa xe tự động khi xe di chuyển,Có
Khóa cửa trẻ em,Có
Cảnh báo chống trộm,Có
Tính năng khóa động cơ khi có trộm,Có
Căng đai khẩn cấp,Hàng ghế trước
Xác định hành khách & Cảnh báo dây an toàn,Hàng ghế trước
Hệ thống chống bó cứng phanh (ABS),Có
Chức năng phân phối lực phanh điện tử (EBD),Có
Hỗ trợ phanh khẩn cấp (BA),Có
Hệ thống cân bằng điện tử (ESC),Có
Chức năng kiểm soát lực kéo (TCS),Có
Hỗ trợ khởi hành ngang dốc (HSA),Có
Chức năng chống lật (ROM),Có
Đèn báo nguy hiểm khi phanh khẩn cấp (ESS),Có
Ga tự động cơ bản,Có
Camera lùi,Có
Cảm biến đỗ xe phía sau,Có
