PHIÊN BẢN,VF 2
KÍCH THƯỚC,
DÀI X RỘNG X CAO (mm),"3.090 X 1.496 X 1.663,2"
CHIỀU DÀI CƠ SỞ (mm),2.065
KHOẢNG SÁNG GẦM XE KHÔNG TẢI (mm),"166,3"
HỆ THỐNG TRUYỀN ĐỘNG,
A. ĐỘNG CƠ,
CÔNG SUẤT TỐI ĐA (kW),30
MÔ MEN XOẮN CỰC ĐẠI (Nm),65
TỐC ĐỘ TỐI ĐA (km/h),80
B. PIN,
QUÃNG ĐƯỜNG CHẠY MỘT LẦN SẠC ĐẦY (km) (NEDC),210
DUNG LƯỢNG PIN KHẢ DỤNG (kWh),"18,3"
DÂY SẠC DI ĐỘNG (kW),PHỤ KIỆN CHÍNH HÃNG SẠC DC 3 kW
CÔNG SUẤT SẠC TỐI ĐA (kW),24
THỜI GIAN NẠP PIN NHANH NHẤT TỪ 10% ĐẾN 70% (phút),34
C. THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
DẪN ĐỘNG,RWD/CẦU SAU
HỆ THỐNG PHANH TÁI SINH,CÓ
CHẾ ĐỘ LÁI,ECO/NORMAL
NGOẠI THẤT,
A. ĐÈN NGOẠI THẤT,
ĐÈN CHIẾU SÁNG PHÍA TRƯỚC,LED
ĐÈN HẬU,HALOGEN
B. GƯƠNG CHIẾU HẬU,
GƯƠNG CHIẾU HẬU NGOÀI,CHỈNH CƠ
C. NGOẠI THẤT KHÁC,
GẠT MƯA TRƯỚC,ĐIỀU CHỈNH GIÁN ĐOẠN
ĐÓNG/MỞ CỐP SAU,CHỈNH CƠ
TÍNH NĂNG THÔNG MINH,
TỰ CHẨN ĐOÁN LỖI,CÓ
THANH TOÁN PHÍ SẠC QUA MÃ QR TRÊN ỨNG DỤNG ĐIỆN THOẠI,CÓ
KHUNG GẦM,
HỆ THỐNG TREO (trước/sau),MACPHERSON/MACPHERSON
HỆ THỐNG PHANH (trước/sau),ĐĨA/TANG TRỐNG
KÍCH THƯỚC LA-ZĂNG (inch),13
BỘ VÁ LỐP,PHỤ KIỆN CHÍNH HÃNG
BỘ DỤNG CỤ KÍCH XE,PHỤ KIỆN CHÍNH HÃNG
NỘI THẤT & TIỆN NGHI,
A. ĐIỀU HÒA KHÔNG KHÍ,
HỆ THỐNG ĐIỀU HÒA,"MÁY LẠNH, CHỈNH CƠ"
B. MÀN HÌNH VÀ KẾT NỐI,
MÀN HÌNH THÔNG TIN LÁI,7 INCH
HỆ THỐNG ÂM THANH,2 LOA
CHỨC NĂNG GIẢI TRÍ,FM
C. TIỆN NGHI,
GHẾ LÁI,CHỈNH CƠ 4 HƯỚNG
MÓC CỐ ĐỊNH GHẾ TRẺ EM ISOFIX,CÓ
BỌC GHẾ,NỈ
GƯƠNG CHIẾU HẬU TRONG XE,CHẾ ĐỘ NGÀY & ĐÊM
AN TOÀN & AN NINH,
TÚI KHÍ DÀNH CHO NGƯỜI LÁI,CÓ
HỆ THỐNG CHỐNG BÓ CỨNG PHANH (ABS),CÓ
CHỨC NĂNG PHÂN PHỐI LỰC PHANH ĐIỆN TỬ (EBD),CÓ
KIỂM SOÁT LỰC KÉO (TCS),CÓ
