PHIÊN BẢN,VF 5 Plus
Chiểu dài cơ sở (mm),2.514
Dài x rộng x cao (mm),3.967 x 1.723 x 1.579
Khoảng sáng gầm xe không tải (mm),160
"Dung tích khoang chứa hành lý (lít)
Có/gập hàng ghế cuối",331/1015
Trọng lượng không tải (kg),1.34
Tải trọng (kg),325
KHUNG GẦM,
Hệ thống treo - trước,"Độc lập, MacPherson"
Hệ thống treo - sau,Dầm xoắn
Hệ thống phanh trước/sau,Đĩa thông gió/đĩa
Loại la-zăng,Hợp kim 17 inch
Trợ lực lái,EPS/Trợ lực điện
NGOẠI THẤT,
Đèn pha,Halogen Tự động bật/tắt
Đèn hậu,Halogen
Gương chiếu hậu,Chỉnh điện tích hợp báo rẽ
Kính cửa sổ chỉnh điện,Có
Lên/xuống một chạm cửa tài xế,
Kính chắn gió,Chống tia UV
Tấm bảo vệ dưới thân xe,Có
HỆ TRUYỀN ĐỘNG,
THÔNG SỐ ĐỘNG CƠ,
Cấu hình động cơ,1 Motor điện
Công suất tối đa (kW/hp),100/134
Mô men xoắn cực đại (Nm),135
Tăng tốc 0 - 100 km/h (s),12
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Hệ dẫn động,FWD/Cầu trước
Chọn chế độ lái,Eco/Sport
THÔNG SỐ PIN,
Loại Pin,LFP
Dung lượng pin khả dụng (kWh),"37,23"
Quãng đường chạy một lần sạc đầy (km) - Điều kiện tiêu chuẩn NEDC*,326
Thời gian nạp pin nhanh nhất (từ 10% lên 70%) (phút),33
NỘI THẤT & TIỆN NGHI,
Số chỗ ngồi,5
Chất liệu bọc ghế,Giả da
Ghế lái,Chỉnh cơ 6 hướng
Ghế phụ,Chỉnh cơ 4 hướng
Hàng ghế thứ hai,Có thể gập theo tỷ lệ 60:40
"Vô lăng Chỉnh cơ 2 hướng, tích hợp nút bấm điều khiển tính năng giải trí và ga tự động",
Hệ thống điều hòa,1 vùng
Lọc không khí Cabin,PM2.5
Chức năng làm tan sương/tan băng,Có
Màn hình giải trí cảm ứng,8-inch
Bảng đồng hồ thông tin lái,7-inch
Cổng kết nối USB,"Hàng ghế trước: 1 (Cổng dữ liệu và sạc 7,5W) 
Hàng ghế thứ hai: 1 (Cổng sạc 18W)"
Quản lý WiFi (kết nối / phát hotspot),Có
Quản lý thiết bị Bluetooth (Điện thoại và nghe nhạc),Có
Chìa khóa,Chìa khóa từ xa
Hệ thống loa,4
AN TOÀN & AN NINH,
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ lực phanh khẩn cấp (BA),Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Đèn báo nguy hiểm khi phanh khẩn cấp ESS,Có
Giám sát áp suất lốp,ITPMS
Khóa cửa xe tự động khi xe di chuyển,Có
Căng đai khẩn cấp ghế trước,Có
"Móc cố định ghế trẻ em ISOFIX, hàng ghế thứ 2",Có
Cảnh báo thắt dây an toàn hàng ghế trước,Có
Cảnh báo chống trộm,Có
Tính năng khóa động cơ khi có trộm,Có
HỆ THỐNG TÚI KHÍ,6
Túi khí trước lái và hành khách phía trước,2
Túi khí rèm,2
Túi khí bên hông hàng ghế trước,2
TÍNH NĂNG ADAS,
Ga tự động,Có
Cảnh báo phương tiện cắt ngang phía sau,Có
Cảnh báo điểm mù,Có
Cảnh báo mở cửa,Có
Camera lùi,Có
Hỗ trợ đỗ phía sau,Có
TÍNH NĂNG THÔNG MINH,
AN NINH AN TOÀN,
Chẩn đoán lỗi trên xe tự động,Có
THÔNG TIN & GIẢI TRÍ,
Đồng bộ tài khoản & Quản lý hồ sơ người lái,Có
Giải trí âm thanh,"FM Radio, USB, Bluetooth"
Kết nối Android Auto và Apple Carplay không dây,Có
TRỢ LÝ ẢO VIVI,
Điều khiển xe bằng giọng nói,Có
"Hỏi đáp thông tin thời tiết, tiện ích, tính năng xe",Có
ỨNG DỤNG VINFAST (C-APP),
"Giám sát xe từ xa (vị trí, thông số)",Có
Tìm kiếm trạm sạc,Có
Thanh toán phí sạc,Có
"Đặt lịch sửa chữa, bảo dưỡng",Có
Thông tin khuyến mại & phụ kiện,Có
