PHIÊN BẢN,VF 6 Eco
KÍCH THƯỚC,
Dài x Rộng x Cao (mm),4.241 x 1.834 x 1.580
Chiều dài cơ sở (mm),2.730
Khoảng sáng gầm xe không tải (mm),170
HỆ THỐNG TRUYỀN ĐỘNG,
ĐỘNG CƠ,
Công suất tối đa (kW),130
Mô men xoắn cực đại (Nm),250
PIN,
Quãng đường chạy một lần sạc đầy (km) (NEDC),485
Dung lượng pin khả dụng (kWh),"59,6"
Dây sạc di động (kW),"Phụ kiện (AFS 3,5kW)"
Bộ sạc tại nhà (kW),"Phụ kiện (AFS 7,4kW)"
Thời gian nạp pin nhanh nhất (phút),25 phút (từ 10% - 70%)
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Dẫn động,Cầu trước (FWD)
Chế độ lái,Eco/ Normal/ Sport
KHUNG GẦM,
Kích thước la-zăng,17 inch
Hệ thống treo - trước,"Độc lập, MacPherson"
Hệ thống treo - sau,Thanh điều hướng đa điểm
NGOẠI THẤT,
ĐÈN NGOẠI THẤT,
Đèn chiếu sáng phía trước,LED
Tự động bật/tắt đèn,Không
Đèn chiếu sáng ban ngày,LED
Tự động bật/tắt chế độ chiếu xa,Không
Đèn hậu,LED
Đèn nhận diện thương hiệu phía trước,Có
Đèn nhận diện thương hiệu phía sau,Không
NGOẠI THẤT KHÁC,
"Gương chiếu hậu chỉnh điện, tích hợp đèn báo rẽ",Có
"Gương chiếu hậu gập điện, sấy mặt gương, tự động
chỉnh phía hành khách khi lùi",Không
Gạt mưa trước tự động,Không
Chìa khóa thông minh,Có
NỘI THẤT & TIỆN NGHI,
ĐIỀU HÒA KHÔNG KHÍ,
Hệ thống điều hòa,Tự động 1 vùng
Hệ thống lọc bụi mịn Combi 1.0,Không
Chức năng kiểm soát chất lượng không khí,Không
Chức năng ion hóa không khí,Không
Màn hình hiển thị thông tin trên kính lái (HUD),Không
Màn hình giải trí cảm ứng,"12,9 inch"
Kết nối với Android Auto và Apple CarPlay,Có
Hệ thống loa,6
TIỆN NGHI,
Ghế lái,Chỉnh cơ 6 hướng
Ghế bọc da nhân tạo,Có
"Kính cửa sổ chỉnh điện, lên/xuống một chạm","Có, lên/xuống một chạm tất cả các vị trí"
Phanh đỗ điện tử và chế độ tự động giữ phanh,Có
AN TOÀN & AN NINH,
Số lượng túi khí,4
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ phanh khẩn cấp BA,Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Giám sát áp suất lốp,Có
Trợ lái trên cao tốc/di chuyển khi tắc đường,Không
Hỗ trợ tự động chuyển làn,Không
Giám sát hành trình,Tiêu chuẩn
Nhận biết biển báo giao thông,Không
Điều chỉnh tốc độ thông minh,Không
Cảnh báo chệch làn,Không
Hỗ trợ giữ làn,Không
Hỗ trợ giữ làn khẩn cấp,Không
Phanh tự động khẩn cấp trước/sau,Không
Cảnh báo va chạm phía trước,Không
Cảnh báo điểm mù,Có
Cảnh báo phương tiện cắt ngang phía sau,Không
Cảnh báo mở cửa,Không
Hỗ trợ đỗ xe phía sau,Có
Camera lùi,Có
Camera 360,Không
Đèn pha tự động,Không
Cảnh báo tài xế buồn ngủ và mất tập trung,Không
Cảnh báo chống trộm,Có
Tính năng khóa động cơ khi có trộm,Có
Lựa chọn chế độ vận hành đặc biệt,Có
Giải trí trực tuyến,Có
Điều hướng & dẫn đường trên màn hình trung tâm,Có
Trò chơi,Có
Trình duyệt web,Có
Tự chẩn đoán lỗi,Có
Cập nhật phần mềm từ xa,Có
Trợ lý ảo,Có
Ứng dụng điện thoạit,Có
