Phiên bản,VF 7 Eco
KÍCH THƯỚC,
Dài x Rộng x Cao (mm),"4,545 x 1,890 x 1,635.75"
Chiều dài cơ sở (mm),"2,840"
Khoảng sáng gầm xe không tải (mm),190
HỆ THỐNG TRUYỀN ĐỘNG,
ĐỘNG CƠ,
Công suất tối đa (kW),130
Mô men xoắn cực đại (Nm),250
PIN,
Quãng đường chạy một lần sạc đầy (km) (NEDC),498
Dung lượng pin khả dụng (kWh),"59,6"
Dây sạc di động (kW),"Phụ kiện (AFS 3,5 kW)"
Bộ sạc tại nhà (kW),"Phụ kiện (AFS 7,4 kW)"
Thời gian nạp pin nhanh nhất (phút),24.1 phút (từ 10% - 70%)
THÔNG SỐ TRUYỀN ĐỘNG KHÁC,
Dẫn động,Cầu trước (FWD)
Chế độ lái,Eco/ Normal/ Sport
KHUNG GẦM,
Kích thước la-zăng,19 inch
Hệ thống treo - trước,"Độc lập, MacPherson"
Hệ thống treo - sau,Thanh điều hướng đa điểm
NGOẠI THẤT,
ĐÈN NGOẠI THẤT,
Đèn chiếu sáng phía trước,LED
Tự động bật/tắt đèn,Có
Đèn chiếu sáng ban ngày,LED
Tự động bật/tắt chế độ chiếu xa,Không
Đèn hậu,LED
NGOẠI THẤT KHÁC,
"Gương chiếu hậu chỉnh điện, gập điện, tích hợp đèn báo rẽ, sấy mặt gương, tự động chỉnh khi lùi, nhớ vị trí",Có
Gương chiếu hậu chống chói tự động,Không
Gạt mưa trước tự động,Có
Chìa khóa thông minh,Có
Cốp sau,Chỉnh cơ
Tay nắm cửa,Dạng ẩn
NỘI THẤT & TIỆN NGHI,
ĐIỀU HÒA KHÔNG KHÍ,
Hệ thống điều hòa,"Tự động, 2 vùng"
"Hệ thống lọc bụi mịn Combi 1.0
và ion hóa không khí",Có
Cửa gió điều hòa hàng ghế sau,Có
MÀN HÌNH VÀ KẾT NỐI,
Màn hình hiển thị thông tin trên kính lái (HUD),OPT
Màn hình giải trí cảm ứng,"12,9 inch"
Kết nối với Android Auto và Apple CarPlay,Có
Hệ thống loa,6
Sạc không dây,Không
TIỆN NGHI,
Ghế lái,Chỉnh điện 8 hướng
Chất liệu bọc ghế,Da nhân tạo
"Kính cửa sổ chỉnh điện, lên/xuống một chạm","Có, lên/xuống một chạm tất cả các vị trí"
Phanh đỗ điện tử và chế độ tự động giữ phanh,Có
Gương chiếu hậu trong xe,Chế độ ngày/đêm
AN TOÀN & AN NINH,
Số lượng túi khí,6
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ phanh khẩn cấp BA,Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
AN TOÀN & AN NINH,
Hỗ trợ khởi hành ngang dốc HSA,Có
Chức năng chống lật ROM,Có
Giám sát áp suất lốp,Có
Cảnh báo điểm mù,Có
Cảnh báo phương tiện cắt ngang phía sau,Không
Cảnh báo mở cửa,Không
Hỗ trợ tự động chuyển làn,Không
Kiểm soát đi giữa làn,Không
Cảnh báo chệch làn,Không
Hỗ trợ giữ làn,Không
Giám sát hành trình,Tiêu chuẩn
Nhận biết biển báo giao thông,Không
Điều chỉnh tốc độ thông minh,Không
Phanh tự động khẩn cấp trước & sau,Không
Hỗ trợ đỗ phía sau,Có
Camera lùi,Có
Camera 360,Không
Cảnh báo chống trộm,Có
Tính năng khóa động cơ khi có trộm,Có
Móc cố định ghế trẻ em ISOFIX hàng ghế sau,Có
TÍNH NĂNG ĐIỀU KHIỂN THÔNG MINH,
Lựa chọn chế độ vận hành đặc biệt,Có
Cài đặt Giới hạn thời gian hoạt động & khu vực hoạt động của xe,Có
Giải trí trực tuyến,Có
Điều hướng & dẫn đường trên màn hình trung tâm,Có
Trò chơi,Có
Trình duyệt web,Có
Tự chẩn đoán lỗi,Có
Cập nhật phần mềm từ xa,Có
Điều khiển xe và cài đặt bằng giọng nói,Có
Hỏi đáp trợ lý ảo,Có
Ứng dụng điện thoại,Có
