PHIÊN BẢN,VF8 The All New
KÍCH THƯỚC & TẢI TRỌNG,
Kích thước,
Dài x Rộng x Cao (mm),4701 x 1872 x 1670 (mm)
Chiều dài cơ sở (mm),2840 (mm)
Khoảng sáng gầm xe không tải (mm),170 (mm)
Tải trọng,
Trọng lượng không tải (kg),1870 (kg)
NGOẠI THẤT,
Đèn pha,LED tự động
Đèn chờ dẫn đường,Có
Đèn chiếu sáng ban ngày,LED
Đèn chào mừng,Có
Đèn hậu,LED
Đèn phanh trên cao phía sau,LED
Đèn nhận diện thương hiệu phía trước/sau,Có
Gương chiếu hậu,"Chỉnh điện, gập điện.
Tích hợp báo rẽ,
tự động chỉnh khi lùi, nhớ vị trí"
Kiểu cửa sổ,"Chỉnh điện,
lên/xuống một chạm cả 4 cửa"
Gạt mưa trước,Tự động
Điều chỉnh cốp sau,Chỉnh điện
Tấm bảo vệ dưới thân xe,Có
HỆ TRUYỀN ĐỘNG,
Động cơ,
Công suất tối đa (kW),170 (kW)
Mô men xoắn cực đại (Nm),330 (Nm)
Pin & sạc,
Dung lượng pin (Kwh),"60,13"
Quãng đường chạy một lần sạc đầy (km),"480 - 500 km (NEDC)***
tùy điều kiện vận hành"
Dây sạc di động (kW),Phụ kiện chính hãng: 3.5 kW
Bộ sạc tại nhà (kW),Phụ kiện chính hãng: 7.4 kW
Công suất sạc chậm AC tối đa (kW),7.2 kW
Công suất sạc nhanh DC tối đa (kW),100 kW
"Thời gian nạp pin nhanh nhất (phút)
từ 10% đến 70%","Dưới 30 phút sạc nhanh
tại trạm sạc 250kW (10-70%)"
Truyền động khác,
Hệ thống phanh tái sinh,Có
Chọn chế độ lái,Tiết kiệm/ Thường/ Thể thao
Hệ dẫn động,Cầu trước (FWD)
NỘI THẤT & TIỆN NGHI,
Chất liệu bọc ghế,Bọc da nhân tạo
Ghế lái,"Chỉnh điện 6 hướng, nhớ vị trí"
Hàng ghế thứ 2 điều chỉnh hướng,Ngả ghế; tỉ lệ gập 60:40
Móc cố định ghế trẻ em ISOFIX,Có
Loại vô lăng,"Bọc da nhân tạo. Chỉnh cơ 4 hướng.
Tích hợp nút bấm điều khiển
tính năng giải trí và ADAS"
Hệ thống điều hòa,
Hệ thống điều hòa,"Tự động, 2 vùng.
Tích hợp chức năng kiểm soát
chất lượng, ion hóa không khí"
Lọc không khí Cabin,Combi 1.0
Hệ thống tin giải trí,
Màn hình giải trí trung tâm,"12,9 Inch"
Màn hình thông tin sau vô lăng,Có
Hệ thống âm thanh cao cấp,8 loa
Tiện nghi khác,
Gương chiếu hậu trong xe,Chống chói tự động
Cổng USB,"Hàng trước: 1 x Type-A & 1 x Type-C
Hàng ghế 2: 2 x Type-C"
Sạc không dây,Có
KHUNG GẦM,
Hệ thống treo,
Hệ thống treo trước/sau,MacPherson/Treo đa liên kết
Phanh,
Hệ thống phanh trước/sau,Đĩa thông gió/Đĩa đặc
Phanh đỗ,"Điện tử tích hợp
giữ phanh tự động"
Hệ thống chống bó cứng phanh ABS,Có
Chức năng phân phối lực phanh điện tử EBD,Có
Hỗ trợ phanh khẩn cấp BA,Có
Hệ thống cân bằng điện tử ESC,Có
Chức năng kiểm soát lực kéo TCS,Có
Hỗ trợ khởi hành ngang dốc HSA,Có
Chức năng chống lật ROM,Có
Hỗ trợ xuống dốc HDC,Có
Đèn báo nguy hiểm khi phanh khẩn cấp ESS,Có
Vành và lốp xe,
Kích thước mâm xe,19 Inch
AN TOÀN & AN NINH,
Khóa cửa xe tự động khi xe di chuyển,Có
Cảnh báo chống trộm,Có
Tính năng khóa động cơ khi có trộm,Có
Giám sát áp suất lốp,dTPMS
Căng đai khẩn cấp,Trước và sau
Xác định hành khách & Cảnh báo dây an toàn,Có
TÍNH NĂNG ADAS,
Hỗ trợ lái tiêu chuẩn,
Trợ lái trên cao tốc/di chuyển khi tắc đường,Có
Tự động dừng trong trường hợp khẩn cấp,Có
Ga tự động thích ứng,Có
Nhận biết biển báo giao thông,Có
Điều chỉnh tốc độ thông minh,Có
Hỗ trợ làn đường,
Cảnh báo chệch làn,Có
Hỗ trợ giữ làn,Có
Hỗ trợ giữ làn khẩn cấp,Có
Trợ lái khi có nguy cơ va chạm,
Phanh tự động khẩn cấp trước,Có
Cảnh báo va chạm,
Cảnh báo va chạm phía trước,Có
Cảnh báo phương tiện cắt ngang phía sau,Có
Cảnh báo điểm mù,Có
Cảnh báo mở cửa,Có
Hỗ trợ đỗ xe tiêu chuẩn,
Camera 360,Có
Cảm biến đỗ xe phía trước,Có
Cảm biến đỗ xe phía sau,Có
Hỗ trợ khác,
Đèn chiếu xa tự động,Có
HỆ THỐNG TIN GIẢI TRÍ TRÊN XE,
Chế độ xe đặc biệt,
Các chế độ vận hành đặc biệt,"Tiêu chuẩn: Giới hạn
Tùy chọn: Đầy đủ tính năng"
Quản lý kết nối,
Quản lý thiết bị Bluetooth,Có
Quản lý WiFi,Có phát Hotspot
Quản lý eSIM,Có
Quản lý,
"Giám sát tình trạng pin,
Giới hạn dung lượng/dòng sạc",Có
Hồ sơ người lái,Có
Giải trí,
Giải trí cơ bản,"Có (Đài FM, Bluetooth, USB)"
Giải trí trực tuyến,Tuỳ chọn
Kết nối với Android Auto và Apple Carplay,Có
"Điều hướng, dẫn đường",
Bản đồ cơ bản,"Tiêu chuẩn: HERE map
Tuỳ chọn: Vietmap"
Dẫn đường nâng cao cho xe điện,Có
Tiện ích,
Khung tiện ích,"Tiêu chuẩn: Cơ bản
Tùy chọn: Nâng cao"
Hướng dẫn sử dụng,Có
Trình duyệt web,Có
Trò chơi,Tùy chọn
Chuẩn đoán lỗi,
Tự chuẩn đoán lỗi/Chuẩn đoán lỗi từ xa,Có
Cập nhật phần mềm từ xa,
Phần mềm miễn phí,Có
Phần mềm thu phí,Có
Chợ ứng dụng,Tùy chọn
TRỢ LÝ ẢO,
Hướng dẫn sử dụng và xử lý khi có sự cố,
Tư vấn cách thức sử dụng và vận hành xe hiệu quả,Có
Tư vấn tình trạng xe và hỗ trợ xử lý sự cố,Có
Cập nhật / Góp ý cho trợ lý ảo,Có
Điều khiển chức năng trên xe,
"Hỗ trợ điều khiển, thiết lập nhanh",Có
Hỗ trợ giải trí đa phương tiện,Có
Hỗ trợ điều hướng dẫn đường,Có
Hỗ trợ gọi điện thoại rảnh tay,Có
Cá nhân hóa trợ lý ảo,
"Chào hỏi, thực hiện lệnh theo kịch bản tạo sẵn",Có
Cài đặt cơ bản,Có
Cài đặt nâng cao (AI tạo sinh),Tùy chọn
Hỏi đáp và truy vấn thông tin,
Chuyện phiếm & tiếu lâm,Có
Hỏi đáp thông tin chung,Có
Trợ lý ảo du lịch,Tùy chọn
ỨNG DỤNG TRÊN ĐIỆN THOẠI THÔNG MINH,
Quản lý tài khoản & xe,
"Quản lý tài khoản, ủy quyền
cho lái xe thứ 2, đồng bộ lịch,..",Có
Giám sát xe từ xa & nhận thông báo,Có
Quản lý pin nâng cao,Tùy chọn
Điều khiển & cài đặt xe từ xa,
Điều khiển từ xa,Tùy chọn
Thiết lập cài đặt từ xa,Tùy chọn
Tìm trạm sạc,Có
Thanh toán phí sạc,Có
Hỗ trợ hậu mãi,Có
ỨNG DỤNG TRÊN ĐỒNG HỒ THÔNG MINH,
Giám sát xe từ xa,Tùy chọn
Điều khiển xe từ xa,Tùy chọn
