model_id|edition_id|variant_code|is_option_variant|base_edition_code|updated_at
VF2|Tiêu chuẩn|TH14V|false||2026-08-14T11:36:33.756856Z
VF3|Eco|TI1CV|false||2026-08-14T11:36:33.756856Z
VF3|Plus|TI1BV|false||2026-08-14T11:36:33.756856Z
VF5|Plus|GA12V|false||2026-08-14T11:36:33.756856Z
VF6|Eco|JB10V|false||2026-08-14T11:36:33.756856Z
VF6|Plus|JB12V|false||2026-08-14T11:36:33.756856Z
VF7|Eco|GC15V|false||2026-08-14T11:36:33.756856Z
VF7|Plus|GC12V|false||2026-08-14T11:36:33.756856Z
VF7|Plus tuỳ chọn trần kính toàn cảnh|GC12V_CR151|true|GC12V|2026-08-14T11:36:33.756856Z
VF7|Plus 2 động cơ|GC12V_T023|true|GC12V|2026-08-14T11:36:33.756856Z
VF7|Plus tuỳ chọn trần kính toàn cảnh, 2 động cơ|GC12V_CR151_T023|true|GC12V|2026-08-14T11:36:33.756856Z
VF8|Eco|ND31V|false||2026-08-14T11:36:33.756856Z
VF8|Plus|ND32V|false||2026-08-14T11:36:33.756856Z
VF9|Eco|NE3LV|false||2026-08-14T11:36:33.756856Z
VF9|Plus tùy chọn 7 chỗ|NE3MV|false||2026-08-14T11:36:33.756856Z
VF9|Plus tùy chọn ghế cơ trưởng|NE3NV|false||2026-08-14T11:36:33.756856Z
VF8NEW|Comfort|HC11V|false||2026-08-14T11:36:33.756856Z
VFMPV7|Tiêu chuẩn|SL1WV|false||2026-08-14T11:36:33.756856Z
