model_id|edition_id|price_list_vnd|price_promo_vnd|promo_label|vat_included|battery_included|valid_from|valid_to|updated_at|source_url
VF2|Tiêu chuẩn|188000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF2
VF3|Eco|285000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF3
VF3|Plus|296000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF3
VF5|Plus|496000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF5
VF6|Eco|646000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF6|Plus|699000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF6
VF7|Eco|740000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|Plus|830000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|Plus tuỳ chọn trần kính toàn cảnh|850000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|Plus 2 động cơ|879000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF7|Plus tuỳ chọn trần kính toàn cảnh, 2 động cơ|899000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF7
VF8|Eco|898000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF8|Plus|1079000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8
VF9|Eco|1348000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|Plus tùy chọn 7 chỗ|1529000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|Plus tùy chọn ghế cơ trưởng|1561000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF8NEW|Comfort|899000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VFMPV7|Tiêu chuẩn|750000000|||t|t|2026-07-01||2026-08-14T11:36:33.756856Z|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
