model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 2|||dimension|Kích thước & trọng lượng|length_mm|length_mm|3090|mm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 89.3, 188.8, 119.1]|p02_b02|0.98
VF 2|||dimension|Kích thước & trọng lượng|width_mm|width_mm|1496|mm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 89.3, 188.8, 119.1]|p02_b02|0.98
VF 2|||dimension|Kích thước & trọng lượng|height_mm|height_mm|1663.2|mm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 89.3, 188.8, 119.1]|p02_b02|0.98
VF 2|||dimension|Kích thước & trọng lượng|wheelbase_mm|wheelbase_mm|2065|mm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 119.1, 188.8, 148.8]|p02_b02|0.98
VF 2|||dimension|Kích thước & trọng lượng|ground_clearance_mm|ground_clearance_mm|166.3|mm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 148.8, 188.8, 178.6]|p02_b02|0.98
VF 2|||powertrain|Hệ thống truyền động|power_kw|power_kw|30|kW|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 178.6, 188.8, 208.3]|p02_b02|0.98
VF 2|||powertrain|Hệ thống truyền động|torque_nm|torque_nm|65|Nm|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 208.3, 188.8, 238.1]|p02_b02|0.98
VF 2|||powertrain|Hệ thống truyền động|top_speed_kmh|top_speed_kmh|80|km/h|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 238.1, 188.8, 267.9]|p02_b02|0.98
VF 2|||battery|Pin & sạc|range_km|range_km|210|km|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 267.9, 188.8, 297.6]|p02_b02|0.98
VF 2|||battery|Pin & sạc|battery_kwh|battery_kwh|18.3|kWh|vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 297.6, 188.8, 327.4]|p02_b02|0.98
VF 2|||battery|Pin & sạc|Dây sạc di động|Dây sạc di động|Phụ kiện chính hãng||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 327.4, 188.8, 357.2]|p02_b02|0.98
