model_id|edition_id|model_label|edition_label|year_range|is_active
VF2|TieuChuan|VF 2|TieuChuan|2026|True
VF3|Eco|VF 3|Eco|2026|True
VF3|Plus|VF 3|Plus|2026|True
VF5|Plus|VF 5|Plus|2026|True
VF6|Eco|VF 6|Eco|2026|True
VF6|Plus|VF 6|Plus|2026|True
VF7|Eco|VF 7|Eco|2026|True
VF7|Plus|VF 7|Plus|2026|True
VF7|Plus tuỳ chọn trần kính toàn cảnh|VF 7|Plus tuỳ chọn trần kính toàn cảnh|2026|True
VF7|Plus tuỳ chọn trần kính toàn cảnh, 2 động cơ|VF 7|Plus tuỳ chọn trần kính toàn cảnh, 2 động cơ|2026|True
VF8|Eco|VF 8|Eco|2026|True
VF8|Plus|VF 8|Plus|2026|True
VF9|Eco|VF 9|Eco|2026|True
VF9|Plus tùy chọn 7 chỗ|VF 9|Plus tùy chọn 7 chỗ|2026|True
VF9|PlusCaptain|VF 9|PlusCaptain|2026|True
VF8NEW|Comfort|VF 8 All New|Comfort|2026|True
VFMPV7|TieuChuan|VF MPV 7|TieuChuan|2026|True
