model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 7|Plus|Kích thước & Trọng lượng|Chiều cao tổng thể|1.635,75|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[128.0, 264.9, 222.3, 410.7]|p06_b02|0.98
VF 7|Plus|Kích thước & Trọng lượng|Chiều rộng tổng thể|1.890|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[153.2, 430.9, 303.1, 547.6]|p06_b02|0.98
VF 7|Plus|Kích thước & Trọng lượng|Chiều dài tổng thể|4.545|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[420.9, 369.0, 707.2, 562.5]|p06_b02|0.98
VF 7|Plus|Kích thước & Trọng lượng|wheelbase_mm|2840|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[420.9, 363.1, 681.9, 514.9]|p06_b02|0.98
VF 7|Plus|Ngoại thất|Đèn pha LED|tự động bật/tắt chế độ chiếu xa||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[1052.4, 29.8, 1397.5, 291.7]|p06_b02|0.98
VF 7|Plus|Ngoại thất|Tay nắm ẩn trong thân xe|tạo ra sự liền mạch||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[1414.4, 29.8, 1658.5, 291.7]|p06_b02|0.98
VF 7|Plus|Ngoại thất|Gương chiếu hậu chống chói tự động|hiện đại & an toàn||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[825.1, 297.6, 1178.6, 488.1]|p06_b02|0.98
VF 7|Plus|Ngoại thất|Kiểu dáng vuốt coupe|tối ưu khí động học||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[1178.6, 297.6, 1406.0, 488.1]|p06_b02|0.98
VF 7|Plus|Ngoại thất|Lazang hợp kim|20|inch|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|6|[1406.0, 297.6, 1675.4, 488.1]|p06_b02|0.98
VF 7||Nội thất & Tiện nghi|HUD|Hiện đại||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|8|[65.7, 171.4, 617.9, 246.4]|p08_b02|0.98
VF 7||Nội thất & Tiện nghi|Vô lăng|D-cut thể thao||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|8|[65.7, 171.4, 617.9, 246.4]|p08_b02|0.98
VF 7||Kích thước & Trọng lượng|Dung tích khoang chứa đồ|1.576|L|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|8|[65.7, 226.8, 617.9, 246.4]|p08_b02|0.98
VF 7|VF 7 Plus AWD|Động cơ & Vận hành|Thời gian tăng tốc|5,8|giây|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|8|[449.6, 432.7, 766.1, 533.3]|p08_b02|0.98
VF 7||Động cơ & Vận hành|Chế độ lái tùy chỉnh|3 chế độ: Eco/Normal/Sport||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[30.3, 169.6, 185.2, 258.9]|p09_b02|0.98
VF 7||Động cơ & Vận hành|Hệ thống treo|Đa điểm||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[218.9, 169.6, 319.9, 258.9]|p09_b02|0.98
VF 7|VF 7 Plus AWD|Động cơ & Vận hành|power_kw|260|kW|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[370.4, 169.6, 530.4, 261.9]|p09_b02|0.98
VF 7||Pin & Sạc|range_km|496|km|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[530.4, 169.6, 656.7, 264.9]|p09_b02|0.98
VF 7||Động cơ & Vận hành|Phanh tái sinh|Tiết kiệm năng lượng & giảm khí thải||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[126.3, 339.3, 261.0, 461.3]|p09_b02|0.98
VF 7|VF 7 Plus AWD|Pin & Sạc|Sạc đầy PIN từ 10-70%|Trong 28 phút||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[294.7, 339.3, 429.4, 473.2]|p09_b02|0.98
VF 7|VF 7 Plus AWD|Động cơ & Vận hành|torque_nm|500|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|9|[437.8, 339.3, 555.6, 461.3]|p09_b02|0.98
VF 7|VF 7 Plus|Hệ thống hỗ trợ lái nâng cao ADAS|Giám sát hành trình thích ứng|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|11|[880.6, 129.8, 1059.1, 251.8]|p11_b02|0.98
VF 7|VF 7 Plus|Hệ thống hỗ trợ lái nâng cao ADAS|Phanh tự động khẩn cấp TRƯỚC|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|11|[1060.8, 129.8, 1229.2, 251.8]|p11_b02|0.98
VF 7|VF 7 Plus|Hệ thống hỗ trợ lái nâng cao ADAS|Phanh tự động khẩn cấp SAU|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|11|[1229.2, 129.8, 1363.9, 251.8]|p11_b02|0.98
VF 7|VF 7 Plus|Hệ thống hỗ trợ lái nâng cao ADAS|Hỗ trợ tự động chuyển làn|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|11|[1363.9, 129.8, 1525.5, 251.8]|p11_b02|0.98
VF 7|VF 7 Plus|Hệ thống hỗ trợ lái nâng cao ADAS|Kiểm soát đi giữa làn|Có||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|11|[1525.5, 129.8, 1675.4, 251.8]|p11_b02|0.98
VF 7|Eco|Động cơ & Vận hành|power_kw|130|kW / hp|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 154.8, 1141.6, 190.5]|p12_b02|0.98
VF 7|Plus|Động cơ & Vận hành|power_kw|150|kW / hp|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 154.8, 1342.0, 190.5]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Động cơ & Vận hành|power_kw|260|kW / hp|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 154.8, 538.8, 557.1]|p12_b02|0.4
VF 7|Eco|Động cơ & Vận hành|torque_nm|250|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 190.5, 1141.6, 226.2]|p12_b02|0.98
VF 7|Plus|Động cơ & Vận hành|torque_nm|310|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 190.5, 1342.0, 226.2]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Động cơ & Vận hành|torque_nm|500|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 190.5, 1576.0, 226.2]|p12_b02|0.98
VF 7|Eco|Động cơ & Vận hành|drivetrain|Dẫn động cầu trước (FWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 226.2, 1141.6, 261.9]|p12_b02|0.98
VF 7|Plus|Động cơ & Vận hành|drivetrain|Dẫn động cầu trước (FWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 226.2, 1342.0, 261.9]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Động cơ & Vận hành|drivetrain|Hai cầu (AWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 226.2, 1576.0, 261.9]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|range_km|498|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 261.9, 1141.6, 298.2]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|range_km|Cập nhật sau|km|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 261.9, 1342.0, 298.2]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Pin & Sạc|range_km|496|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 261.9, 1576.0, 298.2]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|battery_kwh|59.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 298.2, 1141.6, 333.9]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 298.2, 1342.0, 333.9]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Pin & Sạc|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 298.2, 1576.0, 333.9]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|Chi phí sạc pin|0|VNĐ|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 333.9, 1141.6, 401.2]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|Chi phí sạc pin|0|VNĐ|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 333.9, 1342.0, 401.2]|p12_b02|0.98
