model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 8 All New||Kích thước|length_mm|4701|mm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 138.9, 289.3, 153.2]|p06_b02|0.98
VF 8 All New||Kích thước|width_mm|1872|mm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 138.9, 289.3, 153.2]|p06_b02|0.98
VF 8 All New||Kích thước|height_mm|1670|mm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 138.9, 289.3, 153.2]|p06_b02|0.98
VF 8 All New||Kích thước & Tải trọng - Kích thước|wheelbase_mm|2840|mm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 153.2, 289.3, 167.5]|p06_b02|0.98
VF 8 All New||Kích thước & Tải trọng - Kích thước|ground_clearance_mm|170|mm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 167.5, 289.3, 181.0]|p06_b02|0.98
VF 8 All New||Kích thước & Tải trọng - Tải trọng|Trọng lượng không tải|1870|kg|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 195.3, 289.3, 209.6]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Động cơ|power_kw|170|kW|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 252.6, 289.3, 266.9]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Động cơ|torque_nm|330|Nm|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 266.9, 289.3, 280.3]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|battery_kwh|60.13|kWh|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 293.0, 289.3, 307.3]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|range_km|480|km (NEDC)|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 307.3, 289.3, 322.4]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|Dây sạc di động|Phụ kiện chính hãng: 3.5|kW|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 322.4, 289.3, 336.8]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|Bộ sạc tại nhà|Phụ kiện chính hãng: 7.4|kW|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 336.8, 289.3, 351.1]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|power_kw|7.2|kW|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 351.1, 289.3, 364.5]|p06_b02|0.4
VF 8 All New||Hệ truyền động - Pin & sạc|power_kw|100|kW|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 364.5, 289.3, 378.9]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Pin & sạc|fast_charge_min|30|phút|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 378.9, 289.3, 406.6]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Truyền động khác|Hệ thống phanh tái sinh|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 417.6, 289.3, 431.9]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Truyền động khác|Chọn chế độ lái|Tiết kiệm/ Thường/ Thể thao||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 431.9, 289.3, 446.2]|p06_b02|0.98
VF 8 All New||Hệ truyền động - Truyền động khác|drivetrain|Cầu trước (FWD)||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 446.2, 289.3, 459.7]|p06_b02|0.98
VF 8 All New||Khung gầm - Hệ thống treo|Hệ thống treo trước/sau|MacPherson/Treo đa liên kết||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 500.9, 289.3, 516.1]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hệ thống phanh trước/sau|Đĩa thông gió/Đĩa đặc||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 530.4, 289.3, 544.7]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Phanh đỗ|Điện tử tích hợp giữ phanh tự động||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 544.7, 289.3, 572.5]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hệ thống chống bó cứng phanh ABS|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 572.5, 289.3, 586.8]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Chức năng phân phối lực phanh điện tử EBD|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 586.8, 289.3, 601.1]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hỗ trợ phanh khẩn cấp BA|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 601.1, 289.3, 614.6]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hệ thống cân bằng điện tử ESC|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 614.6, 289.3, 628.9]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Chức năng kiểm soát lực kéo TCS|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 628.9, 289.3, 643.2]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hỗ trợ khởi hành ngang dốc HSA|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 643.2, 289.3, 656.7]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Chức năng chống lật ROM|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 656.7, 289.3, 671.0]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Hỗ trợ xuống dốc HDC|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 671.0, 289.3, 685.3]|p06_b02|0.98
VF 8 All New||Khung gầm - Phanh|Đèn báo nguy hiểm khi phanh khẩn cấp ESS|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 685.3, 289.3, 698.8]|p06_b02|0.98
VF 8 All New||Khung gầm - Vành và lốp xe|wheel_size_inch|19|inch|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[35.1, 713.1, 289.3, 727.4]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn pha|LED tự động||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 126.3, 556.0, 138.9]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn chờ dẫn đường|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 138.9, 556.0, 153.2]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn chiếu sáng ban ngày|LED||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 153.2, 556.0, 167.5]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn chào mừng|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 167.5, 556.0, 181.0]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn hậu|LED||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 181.0, 556.0, 195.3]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn phanh trên cao phía sau|LED||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 195.3, 556.0, 209.6]|p06_b02|0.98
VF 8 All New||Ngoại thất|Đèn nhận diện thương hiệu phía trước/sau|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 209.6, 556.0, 223.1]|p06_b02|0.98
VF 8 All New||Ngoại thất|Gương chiếu hậu|Chỉnh điện, gập điện. Tích hợp báo rẽ, tự động chỉnh khi lùi, nhớ vị trí||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 223.1, 556.0, 251.7]|p06_b02|0.98
VF 8 All New||Ngoại thất|Kiểu cửa sổ|Chỉnh điện, lên/xuống một chạm cả 4 cửa||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 251.7, 556.0, 279.5]|p06_b02|0.98
VF 8 All New||Ngoại thất|Gạt mưa trước|Tự động||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 279.5, 556.0, 293.8]|p06_b02|0.98
VF 8 All New||Ngoại thất|Điều chỉnh cốp sau|Chỉnh điện||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 293.8, 556.0, 308.1]|p06_b02|0.98
VF 8 All New||Ngoại thất|Tấm bảo vệ dưới thân xe|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 308.1, 556.0, 322.4]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi|Chất liệu bọc ghế|Bọc da nhân tạo||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 346.9, 556.0, 361.2]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi|Ghế lái|Chỉnh điện 6 hướng, nhớ vị trí||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 361.2, 556.0, 375.5]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi|Hàng ghế thứ 2 điều chỉnh hướng|Ngả ghế; tỉ lệ gập 60:40||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 375.5, 556.0, 389.8]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi|Móc cố định ghế trẻ em ISOFIX|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 389.8, 556.0, 404.1]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi|Loại vô lăng|Bọc da nhân tạo. Chỉnh cơ 4 hướng. Tích hợp nút bấm điều khiển tính năng giải trí và ADAS||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 404.1, 556.0, 436.1]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi - Hệ thống điều hòa|Hệ thống điều hòa|Tự động, 2 vùng. Tích hợp chức năng kiểm soát chất lượng, ion hóa không khí||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 450.4, 556.0, 492.5]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi - Hệ thống điều hòa|Lọc không khí Cabin|Combi 1.0||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 492.5, 556.0, 506.8]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi - Hệ thống tin giải trí|Màn hình giải trí trung tâm|12,9|inch|vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 520.3, 556.0, 534.6]|p06_b02|0.98
VF 8 All New||Nội thất & Tiện nghi - Hệ thống tin giải trí|Màn hình thông tin sau vô lăng|Có||vf8_all_new_brochure|https://static-cms-prod.vinfastauto.com/brochure/26052026/VF%208%20The%20he%20moi_Brochure_final%2020.05.pdf|6|[301.8, 534.6, 556.0, 548.9]|p06_b02|0.98
