model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 3|Eco||pricing|Pricing|price_vnd|Giá bán chính thức|302|triệu đồng|vf_3_brochure|vf3_brochure.pdf|2|[462.1, 178.6, 679.6, 455.4]|p02_b02|0.98
VF 3|Eco||convenience|Tiện nghi|xe_kem_pin|Xe kèm pin|Có||vf_3_brochure|vf3_brochure.pdf|2|[462.1, 178.6, 679.6, 455.4]|p02_b02|0.98
VF 3|Eco||convenience|Tiện nghi|android_auto__apple_carplay|Android Auto & Apple CarPlay|Có||vf_3_brochure|vf3_brochure.pdf|2|[462.1, 178.6, 679.6, 455.4]|p02_b02|0.98
VF 3|Plus||pricing|Pricing|price_vnd|Giá bán chính thức|315|triệu đồng|vf_3_brochure|vf3_brochure.pdf|2|[695.4, 178.6, 912.9, 455.4]|p02_b02|0.98
VF 3|Plus||convenience|Tiện nghi|xe_kem_pin|Xe kèm pin|Có||vf_3_brochure|vf3_brochure.pdf|2|[695.4, 178.6, 912.9, 455.4]|p02_b02|0.98
VF 3|Plus||convenience|Tiện nghi|android_auto__apple_carplay|Android Auto & Apple CarPlay|Có||vf_3_brochure|vf3_brochure.pdf|2|[695.4, 178.6, 912.9, 455.4]|p02_b02|0.98
VF 3|Plus||convenience|Tiện nghi|op_lung|Ốp lưng|Gương chiếu hậu chỉnh điện & gập điện; camera lùi||vf_3_brochure|vf3_brochure.pdf|2|[695.4, 178.6, 912.9, 455.4]|p02_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|height_mm|Chiều cao tổng thể|1652|mm|vf_3_brochure|vf3_brochure.pdf|4|[32.7, 122.0, 98.0, 256.0]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|3190|mm|vf_3_brochure|vf3_brochure.pdf|4|[93.3, 256.0, 233.4, 306.6]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|width_mm|Chiều rộng tổng thể|1679|mm|vf_3_brochure|vf3_brochure.pdf|4|[242.7, 256.0, 387.4, 306.6]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2075|mm|vf_3_brochure|vf3_brochure.pdf|4|[116.7, 497.1, 247.4, 544.7]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|engine_type|Loại động cơ|01 Motor||vf_3_brochure|vf3_brochure.pdf|4|[574.1, 187.5, 849.4, 226.2]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|power_kw|Công suất tối đa|30|kW|vf_3_brochure|vf3_brochure.pdf|4|[578.7, 232.2, 844.8, 256.0]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|torque_nm|Mô men xoắn cực đại|110|Nm|vf_3_brochure|vf3_brochure.pdf|4|[574.1, 261.9, 849.4, 300.6]|p04_b02|0.98
VF 3|||battery|Pin & sạc|fast_charge_min|Thời gian nạp pin nhanh nhất|36|phút|vf_3_brochure|vf3_brochure.pdf|4|[574.1, 303.6, 849.4, 339.3]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|drivetrain|Hệ dẫn động|RWD/Cầu sau||vf_3_brochure|vf3_brochure.pdf|4|[574.1, 339.3, 849.4, 378.0]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|payload_kg|Tải trọng|300|kg|vf_3_brochure|vf3_brochure.pdf|5|[508.7, 39.9, 695.4, 80.4]|p05_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|payload_kg|Tải trọng|50|kg|vf_3_brochure|vf3_brochure.pdf|5|[319.2, 169.1, 424.7, 239.9]|p05_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|turning_radius_m|Bán kính quay vòng tối thiểu|4.5|m|vf_3_brochure|vf3_brochure.pdf|5|[564.7, 380.4, 681.4, 430.4]|p05_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|ground_clearance_mm|Khoảng sáng gầm xe|175|mm|vf_3_brochure|vf3_brochure.pdf|5|[506.9, 472.1, 629.1, 517.9]|p05_b02|0.98
VF 3|||battery|Pin & sạc|range_km|Quãng đường di chuyển|215|km|vf_3_brochure|vf3_brochure.pdf|5|[339.8, 445.3, 458.3, 503.0]|p05_b02|0.98
VF 3|||battery|Pin & sạc|fast_charge_min|Thời gian sạc nhanh|36|phút|vf_3_brochure|vf3_brochure.pdf|5|[197.0, 495.9, 332.3, 541.7]|p05_b02|0.98
VF 3|||convenience|Tiện nghi|man_hinh|Màn hình|10|inch|vf_3_brochure|vf3_brochure.pdf|5|[623.5, 312.5, 791.6, 356.0]|p05_b02|0.98
VF 3|||convenience|Tiện nghi|thoi_han_bao_hanh|Thời hạn bảo hành|7|năm|vf_3_brochure|vf3_brochure.pdf|8|[118.5, 160.1, 182.0, 195.8]|p08_b02|0.98
VF 3|||battery|Pin & sạc|range_km|Quãng đường di chuyển|160000|km|vf_3_brochure|vf3_brochure.pdf|8|[120.4, 198.2, 266.0, 228.6]|p08_b02|0.4
VF 3|||convenience|Tiện nghi|ieu_kien_su_dung|Điều kiện sử dụng|Điều kiện sử dụng tiêu chuẩn||vf_3_brochure|vf3_brochure.pdf|8|[126.0, 231.6, 262.3, 241.7]|p08_b02|0.98
VF 3|||convenience|Tiện nghi|thoi_han_bao_hanh|Thời hạn bảo hành|3|năm|vf_3_brochure|vf3_brochure.pdf|8|[301.5, 160.7, 356.6, 195.8]|p08_b02|0.98
VF 3|||battery|Pin & sạc|range_km|Quãng đường di chuyển|100000|km|vf_3_brochure|vf3_brochure.pdf|8|[305.2, 198.2, 447.1, 228.6]|p08_b02|0.4
VF 3|||convenience|Tiện nghi|ieu_kien_su_dung|Điều kiện sử dụng|Sử dụng mục đích Dịch vụ thương mại||vf_3_brochure|vf3_brochure.pdf|8|[305.2, 231.6, 447.1, 241.7]|p08_b02|0.98
VF 3|||convenience|Tiện nghi|thoi_han_bao_hanh|Thời hạn bảo hành|8|năm|vf_3_brochure|vf3_brochure.pdf|8|[118.5, 313.1, 181.1, 345.9]|p08_b02|0.98
VF 3|||battery|Pin & sạc|range_km|Quãng đường di chuyển|160000|km|vf_3_brochure|vf3_brochure.pdf|8|[121.3, 350.0, 264.2, 377.4]|p08_b02|0.4
VF 3|||convenience|Tiện nghi|ieu_kien_su_dung|Điều kiện sử dụng|Điều kiện sử dụng tiêu chuẩn||vf_3_brochure|vf3_brochure.pdf|8|[126.9, 379.8, 261.4, 389.9]|p08_b02|0.98
VF 3|||convenience|Tiện nghi|thoi_han_bao_hanh|Thời hạn bảo hành|3|năm|vf_3_brochure|vf3_brochure.pdf|8|[301.5, 313.1, 356.6, 345.3]|p08_b02|0.98
VF 3|||battery|Pin & sạc|range_km|Quãng đường di chuyển|100000|km|vf_3_brochure|vf3_brochure.pdf|8|[304.3, 350.0, 447.1, 377.4]|p08_b02|0.4
VF 3|||convenience|Tiện nghi|ieu_kien_su_dung|Điều kiện sử dụng|Sử dụng mục đích Dịch vụ thương mại||vf_3_brochure|vf3_brochure.pdf|8|[305.2, 380.4, 447.1, 389.9]|p08_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2075|mm|vf_3_brochure|vf3_brochure.pdf|9|[84.9, 81.0, 252.0, 88.1]|p09_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|3190|mm|vf_3_brochure|vf3_brochure.pdf|9|[84.9, 87.5, 270.7, 95.2]|p09_b02|0.98
