model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF MPV 7||Kích thước|length_mm|4740|mm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 515.2, 560.2, 530.4]|p03_b02|0.98
VF MPV 7||Kích thước|width_mm|1872|mm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 515.2, 560.2, 530.4]|p03_b02|0.98
VF MPV 7||Kích thước|height_mm|1734|mm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 515.2, 560.2, 530.4]|p03_b02|0.98
VF MPV 7||Kích thước & Trọng lượng|wheelbase_mm|2840|mm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 532.1, 487.5, 546.4]|p03_b02|0.98
VF MPV 7||Kích thước & Trọng lượng|ground_clearance_mm|185|mm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 547.2, 554.8, 562.4]|p03_b02|0.98
VF MPV 7||Kích thước & Trọng lượng|Trọng lượng không tải|1.875|kg|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[325.6, 563.2, 536.9, 578.4]|p03_b02|0.98
VF MPV 7||Ngoại thất|La-zăng hợp kim|19|inch|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|3|[381.0, 638.2, 563.7, 655.8]|p03_b02|0.98
VF MPV 7||Động cơ & Vận hành|power_kw|150|kW|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|5|[129.8, 601.1, 276.2, 632.3]|p05_b02|0.98
VF MPV 7||Động cơ & Vận hành|Mô-men xoắn cực đại|280|Nm|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|5|[120.2, 601.1, 283.4, 632.3]|p05_b02|0.98
VF MPV 7||Pin & Sạc|range_km|450|km|vf_mpv7_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf|5|[321.4, 601.1, 516.1, 632.3]|p05_b02|0.98
